Gene_Symbol,Gene_ID,Median(Tumor),Median(Normal),log2FC,adjp
A1BG,ENSG00000121410.11,8.04,2.975,1.185,1.39E-05
A2ML1,ENSG00000166535.19,43.64,236.27,-2.41,0.000467
AADAC,ENSG00000114771.13,0.27,4.034,-1.987,2.14E-12
ABCA8,ENSG00000141338.13,0.31,2.21,-1.293,4.28E-22
ABCD1,ENSG00000101986.11,6.79,2.765,1.049,1.74E-16
ABCG1,ENSG00000160179.18,12.28,5.605,1.008,8.69E-11
ABI3BP,ENSG00000154175.16,2.09,6.725,-1.322,3.35E-06
ABL2,ENSG00000143322.19,5.58,1.8,1.233,3.99E-20
AC002398.12,ENSG00000267328.1,0.22,2.135,-1.362,1.79E-23
AC005083.1,ENSG00000233834.6,0.88,3.14,-1.139,4.74E-11
AC005339.2,ENSG00000268565.1,4.45,1.285,1.254,3.52E-08
AC005786.7,ENSG00000267436.1,1.37,0,1.245,0.0125
AC006011.4,ENSG00000244563.1,12.48,5.625,1.025,2.46E-14
AC006262.5,ENSG00000268621.5,5.82,1.74,1.316,2.06E-05
AC007879.7,ENSG00000229647.1,3.24,0.565,1.438,1.02E-15
AC009948.5,ENSG00000223960.6,5.51,1.855,1.189,2.62E-17
AC010677.5,ENSG00000232383.1,4.42,0,2.438,1.11E-12
AC021066.1,ENSG00000281415.1,0,8.344,-3.224,0.00162
AC098973.2,ENSG00000225548.5,6.66,0,2.937,1.34E-09
AC108676.1,ENSG00000244675.2,1.17,0.01,1.103,9.06E-10
AC133644.2,ENSG00000280721.1,2.7,0.465,1.337,5.14E-20
AC239868.2,ENSG00000280874.1,28.769,12.141,1.18,1.01E-06
AC239868.3,ENSG00000281134.1,28.62,12.141,1.173,4.26E-06
ACADSB,ENSG00000196177.12,3.29,7.645,-1.011,1.41E-09
ACD,ENSG00000102977.13,19.03,8.53,1.072,5.04E-29
ACER1,ENSG00000167769.4,0.24,3.366,-1.816,1.04E-13
ACKR1,ENSG00000213088.9,4.6,22.709,-2.082,3.93E-16
ACKR3,ENSG00000144476.5,48.65,19.161,1.3,1.79E-07
ACLY,ENSG00000131473.16,47.98,23.365,1.007,7.01E-16
ACOT7,ENSG00000097021.19,70.599,28.773,1.266,2.68E-32
ACOT9,ENSG00000123130.16,24.68,8.461,1.441,5.3E-31
ACP5,ENSG00000102575.10,75.269,25.425,1.529,4.82E-22
ACPP,ENSG00000014257.15,4.23,15.315,-1.641,7.13E-10
ACTA1,ENSG00000143632.14,0.78,219.017,-6.95,1.21E-07
ACTL6A,ENSG00000136518.16,59.371,22.579,1.356,2.84E-24
ACTN1,ENSG00000072110.13,167.927,65.689,1.341,1.31E-11
ACTN2,ENSG00000077522.12,0.37,19.018,-3.869,1.19E-06
ACVR1,ENSG00000115170.13,19.86,8.081,1.2,9.13E-13
