SYMBOL,GeneID,Median(Tumor),Median(Normal),Log2FC,adjp
A2M,ENSG00000175899,183.787,28.3,2.657,1.29E-49
A4GALT,ENSG00000128274,17.14,2.2,2.503,2.69E-48
AACS,ENSG00000081760,15.64,6.74,1.104,5.73E-40
AADAC,ENSG00000114771,4.32,10.68,-1.135,4.16E-08
AAED1,ENSG00000158122,7.5,2.08,1.465,6.02E-57
AAGAB,ENSG00000103591,24.92,7.61,1.59,1.64E-66
AAMDC,ENSG00000087884,42.739,12.78,1.666,3.29E-55
AAMP,ENSG00000127837,105.917,34.951,1.572,8.52E-50
AAR2,ENSG00000131043,23.61,6.82,1.654,2.6E-67
AASS,ENSG00000008311,2.85,9.27,-1.415,2.35E-27
AATF,ENSG00000275700,38.239,14.08,1.38,1.24E-42
ABAT,ENSG00000183044,6.34,16.71,-1.271,8.49E-11
ABC7-42404400C24.1,ENSG00000277758,0.17,1.49,-1.09,2.06E-37
ABCA1,ENSG00000165029,4.22,1.43,1.103,2.87E-27
ABCA2,ENSG00000107331,27.5,11.58,1.18,2.37E-27
ABCA5,ENSG00000154265,7.37,22.88,-1.512,6.06E-30
ABCB1,ENSG00000085563,6.29,1.13,1.775,1.26E-36
ABCB10,ENSG00000135776,6.34,2.46,1.085,2.56E-41
ABCB4,ENSG00000005471,1.21,0.05,1.074,1.88E-41
ABCB6,ENSG00000115657,15.62,5.35,1.388,1.52E-40
ABCB7,ENSG00000131269,9.76,4.32,1.016,5.88E-41
ABCB8,ENSG00000197150,18.84,7.23,1.269,1.99E-44
ABCB9,ENSG00000150967,4.54,1.26,1.294,6.21E-49
ABCC1,ENSG00000103222,14.65,3.98,1.652,6.48E-49
ABCC4,ENSG00000125257,2.98,0.76,1.177,7.88E-42
ABCC5,ENSG00000114770,10.89,4.72,1.056,9.94E-25
ABCC6,ENSG00000091262,3.27,7.65,-1.018,3.81E-22
ABCD4,ENSG00000119688,36.839,16.999,1.072,1.3E-23
ABCF1,ENSG00000204574,32.599,13.65,1.198,1.1E-41
ABCF2,ENSG00000033050,20.201,6.5,1.499,1.48E-56
ABCG1,ENSG00000160179,16.66,1.21,2.998,1.62E-80
ABHD11-AS1,ENSG00000225969,10.2,1.07,2.436,2.17E-33
ABHD13,ENSG00000139826,4.95,1.42,1.298,1.52E-65
ABHD14A,ENSG00000248487,20.1,8.29,1.184,2.94E-34
ABHD14B,ENSG00000114779,54.761,26.339,1.028,2.74E-29
ABHD15,ENSG00000168792,8.36,2.95,1.245,9.53E-45
ABHD16A,ENSG00000204427,41.02,16.42,1.27,6.99E-38
ABHD17A,ENSG00000129968,39.461,18.88,1.025,2.41E-13
ABHD17B,ENSG00000107362,6.62,2.22,1.243,2.43E-48
ABHD17C,ENSG00000136379,35.111,2.48,3.375,1.6E-71
ABHD2,ENSG00000140526,47.5,13.68,1.724,2.99E-39
ABHD3,ENSG00000158201,17.019,5.2,1.539,4.32E-42
ABHD4,ENSG00000100439,22.221,6.38,1.654,7.95E-56
ABHD6,ENSG00000163686,4.42,0.99,1.446,4.59E-57
ABI1,ENSG00000136754,28.541,7.01,1.883,2.75E-59
ABI2,ENSG00000138443,15.47,3.1,2.006,1.72E-67
ABI3,ENSG00000108798,10.11,1.39,2.217,9.44E-48
ABI3BP,ENSG00000154175,12.85,2.5,1.984,1E-32
ABL1,ENSG00000097007,23.62,8.12,1.433,7.03E-40
ABL2,ENSG00000143322,4.8,1.62,1.146,5.67E-43
ABLIM1,ENSG00000099204,31.6,8.39,1.796,1.26E-43
ABLIM2,ENSG00000163995,8.28,2.01,1.624,2.67E-34
ABLIM3,ENSG00000173210,15.77,1.15,2.963,1.13E-67
ABR,ENSG00000159842,41.92,9.11,2.086,1.12E-59
ABRACL,ENSG00000146386,45.351,5.66,2.799,2.22E-64
ABT1,ENSG00000146109,10.85,3.58,1.371,1.53E-65
ABTB1,ENSG00000114626,32.11,12.62,1.282,8.5E-24
ABTB2,ENSG00000166016,4.57,0.8,1.63,4.65E-46
AC000089.3,ENSG00000235776,2.44,0.34,1.36,2.59E-73
AC000111.4,ENSG00000237974,0,1.18,-1.124,6.77E-18
AC002398.12,ENSG00000267328,3.36,0.55,1.492,1.5E-17
AC002398.9,ENSG00000188223,6.05,1.62,1.428,1.47E-52
AC002467.7,ENSG00000241764,2.93,0.9,1.049,8.15E-48
AC005152.3,ENSG00000228639,0.32,4.91,-2.163,7.49E-43
AC005255.3,ENSG00000256210,5.78,0,2.761,5.06E-70
AC005339.2,ENSG00000268565,5.63,0.47,2.173,2.2E-51
AC005355.2,ENSG00000251169,2.54,0.21,1.549,9.85E-54
AC005562.1,ENSG00000214719,3.9,1.38,1.042,3.74E-54
AC005786.7,ENSG00000267436,8.19,0.26,2.867,3.14E-30
AC005943.2,ENSG00000267059,4.19,0,2.376,7.62E-23
AC005943.6,ENSG00000279009,5.18,0,2.628,4.28E-15
AC005944.2,ENSG00000267469,19.401,2.32,2.619,3.84E-40
AC006011.4,ENSG00000244563,8.35,2.31,1.498,3.07E-30
AC007192.6,ENSG00000269145,6.75,2.47,1.159,1.62E-15
AC007229.3,ENSG00000267544,1.68,0.18,1.183,1.19E-60
AC007283.5,ENSG00000234431,5.52,0,2.705,2.31E-68
AC007318.5,ENSG00000172974,8.61,2.54,1.441,1.45E-53
AC007349.4,ENSG00000229424,0,1.38,-1.251,2.61E-50
AC007383.3,ENSG00000227946,5.55,1.43,1.431,3.4E-54
AC007620.3,ENSG00000242539,4.56,0.48,1.91,2.92E-44
AC009005.2,ENSG00000267751,1.96,0.31,1.176,2.84E-37
AC009014.3,ENSG00000271824,1.28,0.12,1.026,2.61E-17
AC009065.4,ENSG00000279473,3.66,0,2.22,4E-86
AC009133.21,ENSG00000275857,1.7,0.3,1.054,6.7E-23
AC009133.22,ENSG00000277669,0,1.19,-1.131,1.16E-25
AC011298.2,ENSG00000219159,0.16,15.39,-3.821,3.55E-88
AC011558.5,ENSG00000279753,104.27,13.79,2.831,1.86E-34
AC016629.7,ENSG00000269032,1.2,0,1.137,3.66E-08
AC016735.2,ENSG00000231826,1.91,0.06,1.457,6.01E-20
AC016739.2,ENSG00000218175,17.45,5.66,1.47,3.6E-27
AC016747.3,ENSG00000212978,4.78,1.26,1.355,5.45E-45
AC018816.3,ENSG00000235978,2.29,0.16,1.504,4.67E-51
AC019117.2,ENSG00000236039,2.55,0.52,1.224,6.95E-19
AC021066.1,ENSG00000281415,129.48,6.07,4.206,6.79E-18
AC021218.2,ENSG00000204876,1.74,0,1.454,1.65E-28
AC025811.3,ENSG00000270947,0,1.24,-1.163,1.09E-51
AC027612.6,ENSG00000143429,18.56,4.04,1.956,1.7E-54
AC068831.17,ENSG00000275929,0,1.59,-1.373,7.08E-63
AC073842.19,ENSG00000235077,0,1.08,-1.057,7.6E-34
AC074212.6,ENSG00000267395,0.88,3.23,-1.17,1.23E-42
AC078941.1,ENSG00000236780,0.93,22.95,-3.633,4.68E-62
AC079767.4,ENSG00000224137,1.35,0,1.233,3.06E-23
AC092580.4,ENSG00000235576,2.9,0,1.964,3.65E-32
AC093323.3,ENSG00000170846,8.22,2.24,1.509,5.87E-52
AC093642.1,ENSG00000280119,0.07,2.05,-1.511,1.2E-54
AC093642.3,ENSG00000237940,0.73,12.44,-2.958,1.85E-64
AC093673.5,ENSG00000232533,11.83,1.03,2.66,2.43E-73
AC093850.2,ENSG00000230838,5.16,0,2.623,1.2E-47
AC098614.2,ENSG00000213846,2.22,0.21,1.412,2.18E-57
AC106876.2,ENSG00000222001,3.31,0.65,1.385,1.04E-19
AC112497.1,ENSG00000279413,2.97,0.57,1.338,2.19E-51
AC113188.2,ENSG00000279535,7.3,1.47,1.749,8.84E-38
AC113404.1,ENSG00000254893,2.53,0.35,1.387,1.58E-53
AC114730.11,ENSG00000235351,0.57,2.23,-1.041,2.61E-40
AC124789.1,ENSG00000276170,1.81,0.18,1.252,2.41E-27
AC129492.1,ENSG00000279152,0.22,1.59,-1.086,1.16E-21
AC131097.4,ENSG00000216921,0.19,12.14,-3.465,4.18E-63
AC132217.4,ENSG00000240801,28.779,4.74,2.375,1.64E-18
AC133644.2,ENSG00000280721,3.64,0.22,1.927,4.29E-57
AC144530.1,ENSG00000234742,1.68,0.24,1.112,7.89E-57
AC147651.4,ENSG00000237181,1.57,0.15,1.16,2.23E-35
AC156455.1,ENSG00000256546,2.03,11.43,-2.036,5.79E-52
AC234582.1,ENSG00000279487,25.419,8.36,1.497,4.14E-07
AC239868.2,ENSG00000280874,26.06,0.25,4.436,1.61E-41
AC239868.3,ENSG00000281134,26.06,0.25,4.436,1.61E-41
AC241377.2,ENSG00000281741,2.2,0.53,1.065,8.44E-33
AC241585.2,ENSG00000281571,7.45,2.33,1.343,6.46E-34
AC245100.1,ENSG00000280649,7.11,1.86,1.504,1.92E-49
ACAA2,ENSG00000167315,50.021,21.299,1.194,4.62E-38
ACACA,ENSG00000278540,12.6,4.54,1.296,2.69E-48
ACADL,ENSG00000115361,0.66,16.959,-3.435,8.45E-92
ACADVL,ENSG00000072778,283.793,571.218,-1.007,6.21E-12
ACAN,ENSG00000157766,1.45,0.13,1.116,5.13E-29
ACAP1,ENSG00000072818,8.29,1.75,1.756,2.01E-33
ACAP2,ENSG00000114331,8.9,2.71,1.416,5.81E-49
ACAT2,ENSG00000120437,12.46,2.9,1.787,1.33E-40
ACBD3,ENSG00000182827,27.701,6.74,1.891,2.39E-60
ACBD5,ENSG00000107897,12.88,2.93,1.82,2.05E-60
ACBD6,ENSG00000230124,32.421,14.98,1.064,1.58E-34
ACD,ENSG00000102977,17.96,8.44,1.006,1.7E-28
ACE,ENSG00000159640,19.311,1.95,2.783,5.18E-79
ACE2,ENSG00000130234,3.03,0.96,1.04,4.86E-14
ACER3,ENSG00000078124,5.16,1.13,1.532,1.38E-65
ACHE,ENSG00000087085,7.13,1.34,1.797,1.2E-30
ACKR1,ENSG00000213088,17.179,4.79,1.651,4.55E-11
ACKR4,ENSG00000129048,3.36,0.71,1.35,6.49E-28
ACLY,ENSG00000131473,46.931,15.73,1.519,2.14E-48
ACO2,ENSG00000100412,51.111,20.98,1.245,3.28E-44
ACOT1,ENSG00000184227,4.01,1.07,1.275,7.76E-49
ACOT11,ENSG00000162390,6.01,1.13,1.719,2.42E-54
ACOT13,ENSG00000112304,14.71,4.02,1.646,5.69E-65
ACOT2,ENSG00000119673,19.419,5.89,1.567,4.33E-54
ACOT4,ENSG00000177465,2.05,0.52,1.005,6.57E-44
ACOT7,ENSG00000097021,25.189,3.51,2.538,1.69E-77
ACOT8,ENSG00000101473,23.41,7.91,1.454,2.26E-58
ACOT9,ENSG00000123130,30.511,8.97,1.66,1.71E-39
ACP5,ENSG00000102575,55.479,5.22,3.183,2.18E-52
ACP6,ENSG00000162836,21.19,7.41,1.4,2.99E-36
ACSL1,ENSG00000151726,34.229,13.34,1.297,5.6E-32
ACSL3,ENSG00000123983,38.869,6.61,2.389,9.39E-76
ACSL4,ENSG00000068366,17.629,2.54,2.396,4.33E-66
ACSL5,ENSG00000197142,45.251,1.71,4.093,1.51E-66
ACSS2,ENSG00000131069,26.37,11.26,1.159,9.3E-27
ACTA1,ENSG00000143632,0.09,1.66,-1.287,1.65E-27
ACTA2,ENSG00000107796,540.517,26.339,4.308,1.25E-61
ACTB,ENSG00000075624,4048.578,313.147,3.688,3.47E-69
ACTG1,ENSG00000184009,2287.41,809.731,1.497,9.08E-26
ACTG2,ENSG00000163017,16.64,2.09,2.513,5.45E-28
ACTL6A,ENSG00000136518,32.291,11.94,1.363,2.4E-45
ACTN1,ENSG00000072110,151.355,22.529,2.695,2.51E-62
ACTN4,ENSG00000130402,302.983,49.07,2.602,7.72E-59
ACTR10,ENSG00000131966,58.561,19.16,1.563,8.52E-52
ACTR1A,ENSG00000138107,59.21,16.71,1.765,2.84E-62
ACTR2,ENSG00000138071,83.562,11.58,2.749,2.86E-75
ACTR3,ENSG00000115091,105.36,14.8,2.751,5.1E-63
ACTR6,ENSG00000075089,11.6,3.41,1.515,2E-59
ACTR8,ENSG00000113812,12.94,5.39,1.125,5.52E-43
ACVR1,ENSG00000115170,25.81,3.66,2.524,1.31E-78
ACVR2A,ENSG00000121989,6.1,2.23,1.136,2.38E-40
ACVRL1,ENSG00000139567,13.93,5.11,1.289,1.04E-29
ACY1,ENSG00000243989,40.14,7.21,2.325,5.7E-52
ACYP1,ENSG00000119640,15.48,4.17,1.672,2.12E-46
ADA,ENSG00000196839,8.39,2.65,1.363,3.11E-35
ADAM10,ENSG00000137845,41.599,6.66,2.475,3.42E-57
ADAM12,ENSG00000148848,5.1,0.05,2.538,1.02E-46
ADAM15,ENSG00000143537,106.957,22.6,2.194,1.07E-48
ADAM17,ENSG00000151694,9.17,1.79,1.866,1.24E-56
ADAM19,ENSG00000135074,8.42,0.24,2.925,1.04E-62
ADAM22,ENSG00000008277,2.1,0.24,1.322,2.49E-44
ADAM23,ENSG00000114948,1.98,0.15,1.374,2.99E-46
ADAM28,ENSG00000042980,29.67,1.84,3.433,1.06E-52
ADAM8,ENSG00000151651,28.889,2.46,3.111,2.67E-54
ADAM9,ENSG00000168615,71.322,5.26,3.53,2.06E-70
ADAMDEC1,ENSG00000134028,1.64,0.05,1.33,1.21E-29
ADAMTS12,ENSG00000151388,6.53,0.18,2.674,8.86E-57
ADAMTS14,ENSG00000138316,2.95,0.05,1.911,7.82E-51
ADAMTS2,ENSG00000087116,22.409,2.05,2.94,4.2E-60
ADAMTS4,ENSG00000158859,6.94,1.19,1.858,8.25E-26
ADAMTS7,ENSG00000136378,3.1,0.25,1.714,2.71E-51
ADAMTS9,ENSG00000163638,11.36,4.35,1.208,9.64E-19
ADAMTSL1,ENSG00000178031,1.79,0.22,1.193,4.05E-36
ADAMTSL2,ENSG00000197859,12.12,2.29,1.996,9.07E-41
ADAMTSL4,ENSG00000143382,11.79,2.97,1.688,1.44E-24
ADAMTSL5,ENSG00000185761,2.95,0.33,1.57,8.32E-35
ADAP1,ENSG00000105963,43.761,5.76,2.727,5.33E-32
ADAP2,ENSG00000184060,4.64,1.32,1.282,5.27E-30
ADAR,ENSG00000160710,62.808,19.77,1.619,1.48E-46
ADAT1,ENSG00000065457,19.55,5.63,1.632,8.21E-65
ADCK2,ENSG00000133597,18.98,4.94,1.75,1.1E-67
ADCK3,ENSG00000163050,23.86,63.258,-1.37,5.66E-35
ADCK4,ENSG00000123815,25.509,9.88,1.285,2.16E-39
ADCY2,ENSG00000078295,1.8,0.25,1.163,5.39E-32
ADCY3,ENSG00000138031,26.39,7.14,1.751,1.46E-43
ADCY7,ENSG00000121281,8.25,1.01,2.202,1.43E-48
ADD1,ENSG00000087274,114.063,39.3,1.514,1.83E-44
ADD3,ENSG00000148700,39.42,18.57,1.046,2.27E-17
ADGRA2,ENSG00000020181,17.759,1.7,2.797,9.99E-57
ADGRB2,ENSG00000121753,2.9,0.17,1.737,5.16E-65
ADGRE2,ENSG00000127507,1.54,0.26,1.011,1.31E-27
ADGRE5,ENSG00000123146,62.769,12.35,2.256,3.76E-45
ADGRF1,ENSG00000153292,11.63,0.08,3.548,1.38E-54
ADGRF4,ENSG00000153294,2.16,0.01,1.646,2.55E-52
ADGRF5,ENSG00000069122,6.64,2,1.349,1.28E-35
ADGRG1,ENSG00000205336,92.308,21.85,2.03,6.39E-47
ADGRG6,ENSG00000112414,8.16,0.79,2.355,3.36E-50
ADGRL2,ENSG00000117114,12.11,4.15,1.348,3.03E-32
ADGRL4,ENSG00000162618,9.76,1.83,1.927,1.01E-45
ADH1C,ENSG00000248144,20.129,4.16,2.034,2.01E-14
ADH5,ENSG00000197894,81.871,22.99,1.788,5.37E-54
ADHFE1,ENSG00000147576,3.18,16.549,-2.07,5.53E-57
ADI1,ENSG00000182551,40.14,12.63,1.594,9.07E-50
ADIPOR1,ENSG00000159346,69.261,26.379,1.36,4.33E-46
ADIPOR2,ENSG00000006831,26.451,11.55,1.129,3.57E-24
ADIRF,ENSG00000148671,72.932,18.79,1.901,4.15E-28
ADIRF-AS1,ENSG00000272734,1.59,4.32,-1.039,2.03E-19
ADK,ENSG00000156110,16.919,5.83,1.392,1.93E-52
ADM,ENSG00000148926,21.739,4.97,1.929,1.62E-27
ADNP,ENSG00000101126,21.9,7.25,1.473,8.85E-49
ADO,ENSG00000181915,9.81,1.86,1.918,1.12E-87
ADORA2A,ENSG00000128271,3.17,0.74,1.261,1.78E-34
ADORA2B,ENSG00000170425,3.91,0.53,1.682,1.62E-47
ADORA3,ENSG00000121933,2.48,0.32,1.399,1.16E-33
ADPRHL2,ENSG00000116863,26.859,6.23,1.946,1.19E-69
ADRBK1,ENSG00000173020,61.541,16.19,1.863,1.2E-49
ADRM1,ENSG00000130706,89.989,31.541,1.483,5.5E-43
ADSS,ENSG00000035687,28.67,7.37,1.826,8.03E-59
ADTRP,ENSG00000111863,3.85,0.1,2.14,9.59E-45
AEBP1,ENSG00000106624,274.24,12.62,4.337,7E-65
AEBP2,ENSG00000139154,10.98,3.6,1.381,2.9E-49
AES,ENSG00000104964,484.75,175.666,1.459,1.02E-31
AF001548.5,ENSG00000263335,2.67,0.45,1.34,5.83E-43
AF127577.10,ENSG00000229047,14.77,4.29,1.576,5.58E-26
AF131216.5,ENSG00000255020,0.05,6.32,-2.801,9.09E-59
AFAP1,ENSG00000196526,13.4,1.19,2.717,7.28E-77
AFAP1-AS1,ENSG00000272620,4.46,0.02,2.42,4.39E-39
AFAP1L1,ENSG00000157510,3.37,0.53,1.514,5.75E-52
AFAP1L2,ENSG00000169129,12.51,5.66,1.02,2.59E-11
AFF4,ENSG00000072364,14.57,5.16,1.338,8.4E-39
AFG3L2,ENSG00000141385,24.12,10.35,1.146,1.17E-40
AFTPH,ENSG00000119844,29.86,10,1.488,4.03E-60
AGA,ENSG00000038002,14.18,5.15,1.303,4.81E-48
AGAP1,ENSG00000157985,7.46,2.24,1.385,1.12E-51
AGAP2-AS1,ENSG00000255737,14.68,4.89,1.413,1.56E-43
AGFG1,ENSG00000173744,42.241,10.87,1.865,4.84E-47
AGFG2,ENSG00000106351,28.929,11.27,1.286,6E-27
AGGF1,ENSG00000164252,8.04,2.7,1.289,8E-57
AGK,ENSG00000006530,10.26,4.28,1.093,4.92E-38
AGMAT,ENSG00000116771,1.48,0.18,1.072,1.54E-35
AGMO,ENSG00000187546,1.53,0.02,1.311,6.3E-33
AGO2,ENSG00000123908,5.74,2.09,1.125,1.15E-35
AGPAT1,ENSG00000204310,53.16,13.47,1.904,1.43E-68
AGPAT2,ENSG00000169692,100.071,46.24,1.097,6.24E-17
AGPAT4,ENSG00000026652,3.47,0.78,1.328,2.98E-42
AGPAT5,ENSG00000155189,7.59,2.58,1.263,2.11E-48
AGPAT9,ENSG00000138678,3.23,0.43,1.565,3.86E-53
AGPS,ENSG00000018510,8.31,2.74,1.316,2.98E-47
AGR2,ENSG00000106541,438.276,4.23,6.392,9.21E-71
AGR3,ENSG00000173467,67.878,1.67,4.689,7.12E-57
AGRN,ENSG00000188157,78.21,20.559,1.877,4.5E-29
AGT,ENSG00000135744,16.05,2.23,2.4,3.26E-34
AGTRAP,ENSG00000177674,58.399,21.31,1.413,5.41E-21
AHCTF1,ENSG00000153207,14.12,4.71,1.405,6.69E-54
AHCYL1,ENSG00000168710,42.019,18.77,1.122,1.68E-33
AHCYL2,ENSG00000158467,18.371,4.62,1.785,7.98E-34
AHDC1,ENSG00000126705,8.21,3.32,1.092,7.95E-25
AHNAK,ENSG00000124942,87.262,11.45,2.826,2.66E-60
AHNAK2,ENSG00000185567,40.509,0.51,4.781,7.55E-69
AHR,ENSG00000106546,32.32,2.3,3.336,2.85E-74
AHSA1,ENSG00000100591,98.879,26.08,1.883,3.65E-61
AIDA,ENSG00000186063,39.901,10.89,1.782,1.3E-60
AIF1,ENSG00000204472,59.218,3.67,3.689,9.7E-59
AIFM1,ENSG00000156709,23.11,9.97,1.136,2.71E-50
AIFM2,ENSG00000042286,8.92,1.84,1.804,3.07E-68
AIG1,ENSG00000146416,29.871,6.48,2.045,3.54E-72
AIM1,ENSG00000112297,7.01,1.4,1.739,1.93E-43
AIM1L,ENSG00000176092,9,0.16,3.108,1.34E-55
AIMP1,ENSG00000164022,29.009,11.79,1.23,5.84E-43
AIMP2,ENSG00000106305,21.78,5.48,1.814,2.58E-64
AIP,ENSG00000110711,71.699,18.63,1.889,3.24E-59
AJUBA,ENSG00000129474,7.03,2.46,1.215,3.45E-25
AK1,ENSG00000106992,80.359,14.47,2.395,4.75E-65
AK2,ENSG00000004455,97.639,34.961,1.456,1.06E-45
AK3,ENSG00000147853,26.4,12.56,1.015,3.57E-25
AK4,ENSG00000162433,8.98,0.31,2.929,2.19E-64
AK4P1,ENSG00000263535,1.75,0.09,1.335,5.48E-42
AK6,ENSG00000085231,30.279,13.68,1.091,6.25E-38
AK7,ENSG00000140057,2.5,0.55,1.175,8.05E-43
AK8,ENSG00000165695,1.67,0.25,1.095,2.2E-38
AKAP1,ENSG00000121057,28.3,9.31,1.507,3.19E-45
AKAP11,ENSG00000023516,7.38,2.23,1.375,2.72E-46
AKAP12,ENSG00000131016,14.8,1.72,2.538,2.77E-43
AKAP13,ENSG00000170776,54.288,19.39,1.439,1.84E-32
AKAP2,ENSG00000241978,16.57,2.05,2.526,1.27E-56
AKIP1,ENSG00000166452,18.181,4.71,1.748,7.22E-62
AKIRIN1,ENSG00000174574,22.31,7.01,1.541,7.31E-53
AKIRIN2,ENSG00000135334,21.08,5.82,1.695,4.97E-59
AKNA,ENSG00000106948,12.4,3.59,1.546,5.92E-29
AKR1B1,ENSG00000085662,55.691,15.36,1.793,2.21E-43
AKR1B10,ENSG00000198074,22.641,0.24,4.253,7.65E-45
AKR1C1,ENSG00000187134,21.11,9.32,1.099,2.54E-11
AKR1C2,ENSG00000151632,17.2,3.34,2.068,4.25E-28
AKR1C3,ENSG00000196139,79.688,14.57,2.374,9.27E-35
AKR7A2,ENSG00000053371,44.529,19.28,1.167,1.81E-37
AKR7A3,ENSG00000162482,17.34,104.69,-2.527,1.84E-21
AKR7L,ENSG00000211454,2.26,7.22,-1.334,1.79E-18
AKT1,ENSG00000142208,80.498,34.08,1.216,8.11E-35
AKT1S1,ENSG00000204673,33.91,13.81,1.237,1.97E-39
AKT3,ENSG00000117020,8.33,1.87,1.701,1.44E-41
