SYMBOL,GeneID,Median(Tumor),Median(Normal),Log2FC,adjp
A2M,ENSG00000175899,224.348,1663.723,-2.885,2.02E-149
A2M-AS1,ENSG00000245105,0.53,2.23,-1.078,1.62E-136
A4GALT,ENSG00000128274,10.5,22.6,-1.037,2.17E-27
AASS,ENSG00000008311,3.89,18.78,-2.016,1.58E-80
AATK,ENSG00000181409,1.8,15.56,-2.564,2.09E-112
ABC7-42404400C24.1,ENSG00000277758,0.55,6.97,-2.362,6.25E-97
ABCA10,ENSG00000154263,0.39,5.63,-2.254,2.74E-130
ABCA3,ENSG00000167972,31.519,144.046,-2.157,2.46E-34
ABCA5,ENSG00000154265,4.65,11.92,-1.193,1.55E-57
ABCA6,ENSG00000154262,1.65,15.36,-2.626,2.1E-142
ABCA7,ENSG00000064687,13.71,29.009,-1.029,5.69E-25
ABCA8,ENSG00000141338,1.38,27.35,-3.574,6.06E-203
ABCA9,ENSG00000154258,0.43,7.2,-2.52,1.07E-154
ABCC3,ENSG00000108846,67.751,24.989,1.403,9.71E-32
ABCC8,ENSG00000006071,0.32,7.62,-2.707,2.59E-71
ABCC9,ENSG00000069431,1.79,5.27,-1.168,8.92E-61
ABCG1,ENSG00000160179,13.69,30.819,-1.115,9.22E-56
ABHD11,ENSG00000106077,47.081,22.06,1.06,1.21E-64
ABHD17A,ENSG00000129968,30.06,64.088,-1.067,3.16E-59
ABI3BP,ENSG00000154175,8.96,79.368,-3.012,1.76E-156
ABLIM2,ENSG00000163995,2.2,5.64,-1.053,1.56E-37
ABLIM3,ENSG00000173210,3.67,26.35,-2.55,1.6E-140
ABR,ENSG00000159842,34.139,83.198,-1.261,5.92E-65
ABTB1,ENSG00000114626,17.2,61.96,-1.791,5.83E-109
AC000089.3,ENSG00000235776,2.69,0.46,1.338,7.06E-91
AC000123.3,ENSG00000279265,1.91,5.98,-1.262,3.79E-63
AC000123.4,ENSG00000224138,0.97,3.5,-1.192,1.74E-75
AC002116.8,ENSG00000248101,0.22,2.43,-1.491,7.62E-56
AC002398.12,ENSG00000267328,0.49,3.86,-1.706,2.85E-82
AC004540.4,ENSG00000225792,0.72,4.46,-1.667,3.8E-93
AC004623.3,ENSG00000279488,0.32,2.17,-1.264,1.94E-81
AC005083.1,ENSG00000233834,5.64,2.08,1.108,1.11E-48
AC005104.3,ENSG00000223374,0.98,5.09,-1.621,3.37E-77
AC005154.6,ENSG00000196295,17.89,66.031,-1.827,2.62E-64
AC005154.7,ENSG00000244480,0.47,2.78,-1.363,1.85E-110
AC005253.2,ENSG00000268030,1.17,5.1,-1.491,3.55E-81
AC005255.3,ENSG00000256210,6.55,0,2.916,3.47E-103
AC005519.4,ENSG00000258559,0.64,3.34,-1.404,4.26E-68
AC005538.3,ENSG00000279809,1.66,0.14,1.222,1.88E-67
AC005682.5,ENSG00000228649,0.96,2.93,-1.004,2.04E-46
AC005740.6,ENSG00000271871,0.19,1.41,-1.018,9.02E-99
AC005943.2,ENSG00000267059,1.47,0.07,1.207,1.03E-07
AC006128.2,ENSG00000279716,2.31,13.45,-2.126,5.37E-52
