GeneInfoIDfrom,Gene_1,Interaction_ID,Tax_1,Organism_Name,GeneInfoIDto,Gene_2,Tax_2,Organism_Name.1
P16913,VPK1,activation,10254,Vaccinia virus WR,P05412,JUN,9606,Homo sapiens
P21605,E3L,MI:0914,10254,Vaccinia virus WR,Q14103,HNRNPD,9606,Homo sapiens
P17362,C6L,MI:0915,10254,Vaccinia virus WR,Q9H6S1,AZI2,9606,Homo sapiens
P15059,SPI-2,MI:0914,10254,Vaccinia virus WR,P05141,SLC25A5,9606,Homo sapiens
P15059,SPI-2,MI:0914,10254,Vaccinia virus WR,Q9NUU7,DDX19A,9606,Homo sapiens
P68466,K7R,MI:0914,10254,Vaccinia virus WR,Q9H4A3,WNK1,9606,Homo sapiens
P21605,E3L,MI:0914,10254,Vaccinia virus WR,P12277,CKB,9606,Homo sapiens
P04297,K1L,MI:0914,10254,Vaccinia virus WR,P12036,NEFH,9606,Homo sapiens
P24772,B14R,MI:0915,10254,Vaccinia virus WR,O14920,IKBKB,9606,Homo sapiens
P15059,SPI-2,MI:0914,10254,Vaccinia virus WR,P68431,H3C1,9606,Homo sapiens
P68466,K7R,MI:0914,10254,Vaccinia virus WR,P05166,PCCB,9606,Homo sapiens
Q01220,A52R,MI:0914,10254,Vaccinia virus WR,P12235,SLC25A4,9606,Homo sapiens
P21605,E3L,MI:0914,10254,Vaccinia virus WR,P55265,ADAR,9606,Homo sapiens
P24772,B14R,MI:0914,10254,Vaccinia virus WR,Q16543,CDC37,9606,Homo sapiens
P15059,SPI-2,MI:0914,10254,Vaccinia virus WR,Q7L7L0,H2AW,9606,Homo sapiens
P68466,K7R,MI:0914,10254,Vaccinia virus WR,Q16777,H2AC20,9606,Homo sapiens
Q01220,A52R,MI:0914,10254,Vaccinia virus WR,Q71U36,TUBA1A,9606,Homo sapiens
P21605,E3L,MI:0914,10254,Vaccinia virus WR,A6NNZ2,TUBB8B,9606,Homo sapiens
P21605,E3L,MI:0403,10254,Vaccinia virus WR,Q14444,CAPRIN1,9606,Homo sapiens
P24356,F1L,inhibition,10254,Vaccinia virus WR,O43521,BCL2L11,9606,Homo sapiens
P15059,SPI-2,MI:0914,10254,Vaccinia virus WR,P07437,TUBB,9606,Homo sapiens
P15059,SPI-2,MI:0914,10254,Vaccinia virus WR,Q9UMR2,DDX19B,9606,Homo sapiens
P68466,K7R,MI:0914,10254,Vaccinia virus WR,Q9HCC0,MCCC2,9606,Homo sapiens
P21605,E3L,MI:0914,10254,Vaccinia virus WR,P13929,ENO3,9606,Homo sapiens
P04297,K1L,MI:0914,10254,Vaccinia virus WR,Q15057,ACAP2,9606,Homo sapiens
P24772,B14R,MI:0914,10254,Vaccinia virus WR,O15037,KHNYN,9606,Homo sapiens
P15059,SPI-2,MI:0914,10254,Vaccinia virus WR,P84243,H3-3A; H3-3B,9606,Homo sapiens
P68466,K7R,MI:0914,10254,Vaccinia virus WR,P07437,TUBB,9606,Homo sapiens
