nodes1	label	nodes2
CD44	activation	EGFR
EGF	activation	EGFR
EGFR	activation	(EGFR-EGF)
HGFR	activation	(HGFR-HGF)
TGFR	activation	(TGFR-TGFb)
RAF	activation	(TGFR-TGFb)
ERK2	activation	(TGFR-TGFb)
CD44	activation	SRC
(EGFR-EGF)	activation	SRC
PKCd	activation	SRC
SRC	activation	SHP2
(FGF2-FGFR)	activation	PLCg
(HGFR-HGF)	activation	PLCg
(EGFR-EGF)	activation	PLCg
PLCg	activation	PKC
CD44	activation	HGFR
HGF	activation	HGFR
PKC	activation	RAF
K-Ras	activation	RAF
PKCd	activation	RAF
RAF	activation	MEK
AKT/PKB	inhibition	MEK
(HGFR-HGF)	activation	K-Ras
(K-Ras)	activation	K-Ras
SRC	activation	K-Ras
SHP2	activation	K-Ras
(FGF2-FGFR)	activation	K-Ras
ALK	activation	K-Ras
(TGFR-TGFb)	activation	K-Ras
(EGFR-EGF)	activation	K-Ras
Jak	activation	K-Ras
PLCg	activation	PKCd
SRC	activation	MUC1
MEK	activation	ERK
CD44	activation	TGFR
TGFb	activation	TGFR
SNAIL	activation	Vimentin
HSF1	activation	Vimentin
K-Ras	activation	Vimentin
SNAIL	activation	EMT
(FGF2-FGFR)	activation	EMT
E-cadherin	inhibition	EMT
TCF/LEF	activation	EMT
Vimentin	activation	EMT
STAT	activation	Proliferation
Gemcitabine	inhibition	Proliferation
MYC	activation	Proliferation
p16	inhibition	Proliferation
SNAIL	activation	Proliferation
ERK2	inhibition	Proliferation
mTOR	activation	Proliferation
p21	inhibition	Proliferation
ERK1	activation	Proliferation
Gemcitabine	activation	Apoptosis
casp-9/3/7	activation	Apoptosis
(FGF2-FGFR)	activation	b-catenin
FOXO3a	inhibition	b-catenin
AURKA	activation	b-catenin
MUC1	activation	b-catenin
Smad-2/3/4	activation	b-catenin
E-cadherin	inhibition	b-catenin
GSK-3b	inhibition	b-catenin
b-catenin	activation	TCF/LEF
Smad-2/3/4	activation	SNAIL
GSK-3b	inhibition	SNAIL
AURKA	inhibition	SNAIL
GLI1	activation	SNAIL
AKT/PKB	activation	SNAIL
b-catenin	activation	SNAIL
p53	activation	PTEN
Smad-2/3/4	activation	PTEN
SHP2	activation	PI3K
SRC	activation	PI3K
PTEN	inhibition	PI3K
(EGFR-EGF)	activation	PI3K
ALK	activation	PI3K
(FGF2-FGFR)	activation	PI3K
K-Ras	activation	PI3K
Jak	activation	PI3K
(HGFR-HGF)	activation	PI3K
(TGFR-TGFb)	activation	PI3K
PTEN	inhibition	PIP3
PI3K	activation	PIP3
MYC	activation	AMPK
ERK1	inhibition	TSC1/2
AMPK	activation	TSC1/2
AKT/PKB	inhibition	TSC1/2
GSK-3b	activation	TSC1/2
CD44	activation	AKT/PKB
PIP3	activation	AKT/PKB
GLI1	activation	MYC
b-catenin	activation	MYC
ERK	activation	MYC
(TGFR-TGFb)	inhibition	MYC
K-Ras	activation	MYC
TCF/LEF	activation	MYC
STAT	activation	MYC
Smad-2/3/4	inhibition	MYC
GSK-3b	inhibition	MYC
AKT/PKB	activation	MYC
TSC1/2	inhibition	mTOR
AKT/PKB	activation	mTOR
SNAIL	inhibition	E-cadherin
HSF1	inhibition	E-cadherin
MDM2	inhibition	E-cadherin
(FGF2-FGFR)	activation	E-cadherin
b-catenin	inhibition	GSK-3b
(TGFR-TGFb)	inhibition	GSK-3b
AKT/PKB	inhibition	GSK-3b
E-cadherin	inhibition	GSK-3b
AURKA	activation	GSK-3b
BAX	activation	Cy/C
GSK-3b	activation	BAX
p53	activation	BAX
BCL2	inhibition	BAX
AURKA	inhibition	BAX
PTEN	activation	p53
AMPK	activation	p53
ATR	activation	p53
Vimentin	inhibition	p53
MDM2	inhibition	p53
SNAIL	inhibition	p53
MYC	inhibition	p21
STAT	activation	p21
AKT/PKB	inhibition	p21
p53	activation	p21
AKT/PKB	activation	MDM2
p53	activation	MDM2
MEK	inhibition	BAD
AKT/PKB	inhibition	BAD
AKT/PKB	activation	BCL2
ERK	activation	BCL2
BAD	inhibition	BCL2
GLI1	activation	BCL2
STAT	activation	BCL2
AURKA	activation	BCL2
p53	inhibition	BCL2
b-catenin	activation	CD44
HPA/SDC1	activation	FGF2
FGF2	activation	FGFR
FGFR	activation	(FGF2-FGFR)
(EGFR-EGF)	activation	Jak
CCK2R	activation	Jak
SRC	activation	STAT
(HGFR-HGF)	activation	STAT
Jak	activation	STAT
SOCS3	inhibition	STAT
SRC	activation	STAT
(FGF2-FGFR)	activation	STAT
AMPK	inhibition	HSF1
Shh	activation	PTCH1
GLI1	activation	PTCH1
PTCH1	activation	shh-PTCH1
shh-PTCH1	activation	SMO
MYC	activation	GLI1
MEK	activation	GLI1
p53	inhibition	GLI1
p53	inhibition	GLI1
SMO	activation	GLI1
GSK-3b	inhibition	GLI1
ERK1	inhibition	Smad-2/3/4
(TGFR-TGFb)	activation	Smad-2/3/4
AURKA	inhibition	ATR
p21	inhibition	AURKA
PKC	activation	AURKA
K-Ras	activation	AURKA
Alisertib	inhibition	AURKA
ERK	activation	AURKA
AKT/PKB	inhibition	FOXO3a
Cy/C	activation	casp-9/3/7
ERK	activation	ERK1
ERK	activation	ERK2
Vimentin	activation	ERK2

